半年[季/月]平均別,十五歲以上民間人口[千人],勞動力人口/合計[千人],勞動力人口/就業者[千人],勞動力人口/失業者[千人],非勞動力人口[千人],勞動力參與率[%],失業率[%],就業結構/農業人數[千人],就業結構/農業占就業者人數[%],就業結構/工業人數[千人],就業結構/工業占就業者人數[%],就業結構/服務業人數[千人],就業結構/服務業占就業者人數[%],就業者教育程度/大專以上人數[千人],就業者教育程度/大專以上占就業者人數[%],就業者教育程度/高中職人數[千人],就業者教育程度/高中職占就業者人數[%],就業者教育程度/國中以下人數[千人],就業者教育程度/國中以下占就業者人數[%]
89年9月,2076,1174,1139,34,902,56.5,2.9,3,0.26,252,22.12,884,77.61,-,-,-,-,-,-
89年10月,2076,1171,1137,35,904,56.4,3,3,0.26,243,21.37,891,78.36,-,-,-,-,-,-
89年11月,2078,1170,1135,35,908,56.3,3,3,0.26,242,21.32,889,78.33,-,-,-,-,-,-
89年12月,2079,1170,1134,35,909,56.3,3,3,0.26,238,20.99,893,78.75,-,-,-,-,-,-
90年1月,2079,1171,1135,36,908,56.3,3.1,2,0.18,235,20.7,898,79.1,-,-,-,-,-,-
90年2月,2082,1156,1118,38,926,55.5,3.3,2,0.17,235,20.99,881,78.83,-,-,-,-,-,-
90年3月,2082,1154,1116,38,928,55.4,3.3,4,0.39,240,21.53,872,78.11,-,-,-,-,-,-
90年4月,2082,1153,1115,38,929,55.4,3.3,5,0.49,225,20.16,885,79.34,-,-,-,-,-,-
90年5月,2082,1158,1117,42,924,55.6,3.6,4,0.36,212,18.96,901,80.65,-,-,-,-,-,-
90年6月,2083,1166,1121,46,917,56,3.9,4,0.32,218,19.42,900,80.26,-,-,-,-,-,-
90年7月,2084,1162,1111,51,922,55.8,4.4,4,0.36,219,19.72,887,79.87,-,-,-,-,-,-
90年8月,2083,1161,1108,53,923,55.7,4.6,5,0.48,214,19.33,888,80.17,-,-,-,-,-,-
90年9月,2083,1157,1104,53,926,55.6,4.6,5,0.46,225,20.41,874,79.17,-,-,-,-,-,-
90年10月,2084,1148,1095,53,936,55.1,4.6,5,0.45,229,20.89,862,78.7,-,-,-,-,-,-
90年11月,2085,1135,1084,51,951,54.4,4.5,4,0.34,221,20.39,859,79.23,-,-,-,-,-,-
90年12月,2085,1145,1096,49,940,54.9,4.3,2,0.23,229,20.91,864,78.83,-,-,-,-,-,-
91年1月,2086,1162,1113,49,924,55.7,4.2,1,0.09,233,20.93,878,78.89,-,-,-,-,-,-
91年2月,2087,1170,1120,50,917,56.1,4.3,2,0.18,224,20,895,79.91,-,-,-,-,-,-
91年3月,2090,1175,1122,53,915,56.2,4.5,5,0.45,213,18.98,904,80.57,-,-,-,-,-,-
91年4月,2093,1172,1120,52,921,56,4.4,5,0.45,223,19.91,892,79.64,-,-,-,-,-,-
91年5月,2094,1167,1116,51,928,55.7,4.4,5,0.45,225,20.16,886,79.39,-,-,-,-,-,-
91年6月,2098,1169,1118,51,929,55.7,4.4,4,0.36,227,20.3,887,79.34,-,-,-,-,-,-
91年7月,2102,1176,1120,56,925,56,4.7,5,0.45,223,19.91,892,79.64,-,-,-,-,-,-
91年8月,2103,1176,1118,58,927,55.9,4.9,7,0.63,216,19.32,896,80.14,-,-,-,-,-,-
91年9月,2104,1175,1117,58,929,55.8,4.9,5,0.45,231,20.68,881,78.87,-,-,-,-,-,-
91年10月,2106,1170,1111,59,936,55.5,5,4,0.36,229,20.61,877,78.94,-,-,-,-,-,-
91年11月,2109,1162,1106,56,947,55.1,4.8,3,0.27,203,18.35,900,81.37,-,-,-,-,-,-
